unidade,categoria,tipo,nome,rodovia,km,sentido,municipio,latitude,longitude,qtd_viaturas,viaturas,observacao
Colinas,Pedágio,Praça de Pedágio,Pedágio Itupeva,SP300,76.68,Leste,Itupeva,,,1.0,Não se Aplica,
Colinas,Pedágio,Praça de Pedágio,Pedágio Porto Feliz,SP300,136.772,Leste,Porto Feliz,,,1.0,Não se Aplica,
Colinas,Fiscalização,PGF,Balança PGF 18,SP075,17.94,Norte,Itu,,,1.0,VO-1307 / VO-1308,
Colinas,Fiscalização,PGF,Balança PGF 64,SP075,64.08,Sul,Campinas,,,1.0,Não se Aplica,
Colinas,Fiscalização,PGF,Balança PGF 95,SP280,95.2,Leste,Porto Feliz,,,1.0,Não se Aplica,
Colinas,Fiscalização,PGF,Balança PGF 86,SP300,86.55,Oeste,Cabreúva,,,1.0,Não se Aplica,
Tietê,Base,SAU,Base Operacional - SAU 1,SP101,14.2,Leste,Hortolândia,,,1.0,GL-2131 / UR-2101 / IT-2121,
Tietê,Base,SAU,Base Operacional - SAU 2,SP101,36.0,Oeste,Capivari,,,1.0,USA-2102,
Tietê,Base,SAU,Base Operacional - SAU 3,SP101,52.5,Oeste,Rafard,,,1.0,GP-2141 / UR-2103 / IT-2128,
Tietê,Base,SAU,Base Operacional - SAU 4,SP308,120.2,Sul,Elias Fausto,,,1.0,GL-2132 / UR-2104 / IT-2123,
Tietê,Base,SAU,Base Operacional - SAU 5,SP308,147.2,Sul,Rio Das Pedras,,,1.0,UR-2105 / IT-2122,
Tietê,Base,SAU,Base Operacional - SAU 6,SP300,172.6,Oeste,Laranjal Paulista,,,1.0,GL-2133 / UR-2106 /IT-2124 / IT-2129,
Tietê,Base,SAU,Base Operacional - SAU 7,SP300,202.1,Oeste,Conchas,,,1.0,UR-2107,
Tietê,Base,SAU,Base Operacional - SAU 8,SP300,226.5,Leste,Anhembi,,,1.0,UR-2108 / IT-2125 / CA-2101,
Tietê,Base,SAU,Base Operacional - SAU 9,SP300,257.25,Oeste,Botucatu,,,1.0,GP-2142 / UR-2109,
Tietê,Base,SAU,Base Operacional - SAU 10,SP300,288.2,Leste,Lençóis Paulista,,,1.0,GL-2135 / UR-2110,
Tietê,Base,SAU,Base Operacional - SAU 11,SP300,320.9,Leste,Agudos,,,1.0,GL-2136 / GP-2143 / UR-2111 / IT-2127,
Tietê,Base,SAU,Base Operacional - SAU 12,SP209,13.7,Norte,Botucatu,,,1.0,GL-2134 / UR-2112 / IT-2126,
Tietê,Base,CCO,CCO,SP308,108.6,Sul,Salto,,,1.0,Não se Aplica,
Tietê,Conservação,Soluciona Conservação,Soluciona Conservação - Monte Mor,SP300,52.0,Leste/Oeste,Monte Mor,,,10.0,Comboio 02 / Oficina 02 / Multi 01 / Pipa 01 / Retro 01 / Reparo Pav 01 / Reparo Pav 01 / Pintura Mecânica 01 / Pintura Manual 01 / Tacha 01,
Tietê,Conservação,Soluciona Conservação,Soluciona Conservação - Laranjal Paulista,SP300,171.0,Leste/Oeste,Laranjal Paulista,,,11.0,Multi 02 / Multi 03 / Eps Vertical / Poda Manual / Poda Mecânica / Retro 02 / Sela trinca / OAE / Pintura Manual 02 / Pintura Manual 04 / Tacha 02,
Tietê,Conservação,Soluciona Conservação,Soluciona Conservação - Lençóis Paulista,SP300,299.0,Leste/Oeste,Lençóis Paulista,,,10.0,Comboio 01 / Oficina 01 / Multi 04 / Pipa 02 / Retro 03 / Reparo Pav 02 / Reparo Pav 02 / Pintura Mecânica 02 / Pintura Manual 03 / Tacha 03,
Tietê,Pedágio,Praça de Pedágio,Pedágio Monte Mor,SP101,29.7,Leste,Monte Mor,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Rafard,SP101,55.8,Oeste,Rafard,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Conchas,SP300,192.1,Oeste,Conchas,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Anhembi,SP300,228.2,Oeste,Anhembi,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Botucatu,SP300,259.3,Oeste,Botucatu,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Areiópolis,SP300,285.0,Leste,Areiópolis,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Lençóis Paulista,SP300,314.0,Oeste,Lençóis Paulista,,,1.0,Não se Aplica,
Tietê,Pedágio,Praça de Pedágio,Pedágio Elias Fausto,SP308,109.3,Sul,Elias Fausto,,,1.0,CP2101,
Tietê,Pedágio,Praça de Pedágio,Pedágio Rio das Pedras,SP308,147.3,Norte,Rio Das Pedras,,,1.0,Não se Aplica,
Tietê,Fiscalização,PGF,Balança PGF 257,SP300,257.0,Leste,Botucatu,,,1.0,BM-2101 / IT-2130,
Nascentes,Base,SAU,SAU 01,MG050,59.9,Oeste,Juatuba,,,1.0,Não se aplica,
Nascentes,Base,SAU,SAU 02,MG050,130.0,Oeste,Divinópolis,,,1.0,IT11 / IT12,
Nascentes,Base,SAU,SAU 03,MG050,202.0,Oeste,Formiga,,,2.0,IT13 / CA01,
Nascentes,Base,SAU,SAU 04,MG050,263.7,Oeste,Piumhi,,,1.0,GL23,
Nascentes,Base,SAU,SAU 05,MG050,334.1,Leste,Passos,,,1.0,IT14 / IT15 / GL24,
Nascentes,Base,SAU,SAU 06,MG050,401.0,Oeste,São Sebastião Do Paraíso,,,1.0,Não se aplica,
Nascentes,Conservação,Soluciona Conservação,Soluciona Conservação,MG050,361.0,Leste/Oeste,Passos,,,10.0,CG 01 / CR 02 / CST 01 / CT 02 / CT 05 / CT 07 / CT 09 / CB 01 / CGO 01 / CT 03,
Nascentes,Conservação,Soluciona Conservação,Soluciona Conservação,MG050,119.0,Leste/Oeste,Divinópolis,,,9.0,CR 01 / CSP 01 / CT 01 / CT 04 / CT 06 / CT 08 / CT 10 / CB 02 / CGR 01,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio Itaúna,MG050,81.0,Leste,Itaúna,,,1.0,Não se aplica,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio São Sebastião do Oeste,MG050,140.0,Leste,São Sebastião Do Oeste,,,1.0,GL22,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio Córrego Fundo,MG050,219.0,Leste,Córrego Fundo,,,1.0,Não se aplica,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio Piumhi,MG050,270.7,Oeste,Piumhi,,,1.0,Não se aplica,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio Passos,MG050,333.0,Leste,Passos,,,1.0,Não se aplica,
Nascentes,Pedágio,Praça de Pedágio,Praça de Pedágio Pratápolis,MG050,389.2,Leste,Pratápolis,,,1.0,Não se aplica,
Nascentes,Fiscalização,PGF,Balança PGF 109,MG050,109.0,Oeste,Carmo Do Cajuru,,,1.0,GL21,
Nascentes,Fiscalização,PGF,Balança PGF 401,MG050,401.0,Oeste,São Sebastião Do Paraíso,,,1.0,GL25,
Serra,Base,SAU,SAU 1,SP021,135.0,Externa,Arúja,,,3.0,GL21 / AB01 / CP01,
Serra,Base,SAU,SAU 2,SP021,156.0,Interna,Guarulhos,,,5.0,GL22 / CP02 / GP32 / USA01 / CA01,
Serra,Base,SAU,Base Operacional,SP021,169.0,Externa,São Paulo,,,2.0,AB03 / GL23,
Serra,Conservação,Soluciona Conservação,Soluciona Conservação,SP021,,,São Paulo,,,2.0,CSV01 / CT16,
Serra,Base,CCO,CCO,SP021,156.0,Interna,Guarulhos,,,0.0,Não se aplica,
